Season,Conference,Finish,Division,Finish,Wins,Losses,Win%,GB,Playoffs,Awards,Ref.
1979–80,Eastern,1st,Atlantic,1st,61,21,.744,—,Won Conference Semifinals (Rockets) 4–0Lost Conference Finals (76ers) 4–1,Larry Bird (ROY)Bill Fitch (COY)Red Auerbach (EOY),[36]
1980–81,Eastern,1st,Atlantic,1st,62,20,.756,—,Won Conference Semifinals (Bulls) 4–0Won Conference Finals (76ers) 4–3Won NBA Finals (Rockets) 4–2,Nate Archibald (ASG MVP)Cedric Maxwell (FMVP),[37]
1981–82,Eastern,1st,Atlantic,1st,63,19,.768,—,Won Conference Semifinals (Bullets) 4–1Lost Conference Finals (76ers) 4–3,Larry Bird (ASG MVP),[38]
1982–83,Eastern,3rd,Atlantic,2nd,56,26,.683,9,Won First Round (Hawks) 2–1Lost Conference Semifinals (Bucks) 4–0,—,[39]
1983–84,Eastern,1st,Atlantic,1st,62,20,.756,—,Won First Round (Bullets) 3–1Won Conference Semifinals (Knicks) 4–3Won Conference Finals (Bucks) 4–1Won NBA Finals (Lakers) 4–3,"Larry Bird (MVP, FMVP) Kevin McHale (SIX)",[40]
1984–85,Eastern,1st,Atlantic,1st,63,19,.768,—,Won First Round (Cavaliers) 3–1Won Conference Semifinals (Pistons) 4–2Won Conference Finals (76ers) 4–1Lost NBA Finals (Lakers) 4–2,Larry Bird (MVP)Kevin McHale (SIX),[41]
1985–86,Eastern,1st,Atlantic,1st,67,15,.817,—,Won First Round (Bulls) 3–0Won Conference Semifinals (Hawks) 4–1Won Conference Finals (Bucks) 4–0Won NBA Finals (Rockets) 4–2,"Larry Bird  (MVP, FMVP)Bill Walton (SIX)",[42]
1986–87,Eastern,1st,Atlantic,1st,59,23,.720,—,Won First Round (Bulls) 3–0Won Conference Semifinals (Bucks) 4–3Won Conference Finals (Pistons) 4–3Lost NBA Finals (Lakers) 4–2,—,[43]
1987–88,Eastern,1st,Atlantic,1st,57,25,.695,—,Won First Round (Knicks) 3–1Won Conference Semifinals (Hawks) 4–3Lost Conference Finals (Pistons) 4–2,—,[44]
1988–89,Eastern,8th,Atlantic,3rd,42,40,.512,10,Lost First Round (Pistons) 3–0,—,[45]
1989–90,Eastern,4th,Atlantic,2nd,52,30,.634,1,Lost First Round (Knicks) 3–2,—,[46]
1990–91,Eastern,2nd,Atlantic,1st,56,26,.683,—,Won First Round (Pacers) 3–2Lost Conference Semifinals (Pistons) 4–2,—,[47]
1991–92,Eastern,2nd,Atlantic,1st,51,31,.622,—,Won First Round (Pacers) 3–0Lost Conference Semifinals (Cavaliers) 4–3,—,[48]
1992–93,Eastern,4th,Atlantic,2nd,48,34,.585,12,Lost First Round (Hornets) 3–1,—,[49]
1993–94,Eastern,10th,Atlantic,5th,32,50,.390,25,—,—,[50]
1994–95,Eastern,8th,Atlantic,3rd,35,47,.427,22,Lost First Round (Magic) 3–1,—,[51]
1995–96,Eastern,11th,Atlantic,5th,33,49,.402,27,—,—,[52]
1996–97,Eastern,15th,Atlantic,7th,15,67,.183,46,—,—,[53]
1997–98,Eastern,12th,Atlantic,6th,36,46,.439,19,—,—,[54]
1998–99,Eastern,12th,Atlantic,5th,19,31,.380,14,—,—,[55]
1999–00,Eastern,10th,Atlantic,5th,35,47,.427,17,—,—,[56]
2000–01,Eastern,9th,Atlantic,5th,36,46,.439,20,—,—,[57]
2001–02,Eastern,3rd,Atlantic,2nd,49,33,.598,3,Won First Round (76ers) 3–2Won Conference Semifinals (Pistons) 4–1Lost Conference Finals (Nets) 4–2,—,[58]
2002–03,Eastern,6th,Atlantic,3rd,44,38,.537,5,Won First Round (Pacers) 4–2Lost Conference Semifinals (Nets) 4–0,—,[59]
2003–04,Eastern,8th,Atlantic,4th,36,46,.439,11,Lost First Round (Pacers) 4–0,—,[60]
2004–05,Eastern,3rd,Atlantic,1st,45,37,.549,—,Lost First Round (Pacers) 4–3,—,[61]
2005–06,Eastern,11th,Atlantic,3rd,33,49,.402,16,—,—,[62]
2006–07,Eastern,15th,Atlantic,5th,24,58,.293,23,—,—,[63]
2007–08,Eastern,1st,Atlantic,1st,66,16,.805,—,Won First Round (Hawks) 4–3 Won Conference Semifinals (Cavaliers) 4–3Won Conference Finals (Pistons) 4–2Won NBA Finals (Lakers) 4–2,Kevin Garnett (DPOY)Paul Pierce (FMVP)Danny Ainge (EOY),[64]
2008–09,Eastern,2nd,Atlantic,1st,62,20,.756,—,Won First Round (Bulls) 4–3 Lost Conference Semifinals (Magic) 4–3,—,[65]
2009–10,Eastern,4th,Atlantic,1st,50,32,.610,—,Won First Round (Heat) 4–1 Won Conference Semifinals (Cavaliers) 4–2Won Conference Finals (Magic) 4–2Lost NBA Finals (Lakers) 4–3,—,[66]
2010–11,Eastern,3rd,Atlantic,1st,56,26,.683,—,Won First Round (Knicks) 4–0Lost Conference Semifinals (Heat) 4–1,—,[67]
2011–12,Eastern,4th,Atlantic,1st,39,27,.591,—,Won First Round (Hawks) 4–2Won Conference Semifinals (76ers) 4–3Lost Conference Finals (Heat) 4–3,—,[68]
2012–13,Eastern,7th,Atlantic,3rd,41,40,.506,12.5,Lost First Round (Knicks) 4–2,—,
2013–14,Eastern,12th,Atlantic,4th,25,57,.305,23,—,—,
2014–15,Eastern,7th,Atlantic,2nd,40,42,.488,9,Lost First Round (Cavaliers) 4–0,—,
2015–16,Eastern,5th,Atlantic,2nd,48,34,.585,8,Lost First Round (Hawks) 4–2,—,
2016–17,Eastern,1st,Atlantic,1st,53,29,.646,—,Won First Round (Bulls) 4–2 Won Conference Semifinals (Wizards) 4–3Lost Conference Finals (Cavaliers) 4–1,—,
2017–18,Eastern,2nd,Atlantic,2nd,55,27,.671,4,Won First Round (Bucks) 4–3Won Conference Semifinals (76ers) 4–1 Lost Conference Finals (Cavaliers) 4–3,,
2018–19,Eastern,4th,Atlantic,3rd,49,33,.598,9,Won First Round (Pacers) 4–0Lost Conference Semifinals (Bucks) 4–1,—,[69]
2019–20,Eastern,3rd,Atlantic,2nd,48,24,.667,7.5,Won First Round (76ers) 4–0 Won Conference Semifinals (Raptors) 4–3 Lost Conference Finals (Heat) 4–2,,
